Year,County,Birthweight Type,Total Births,Events,Percent,Lower 95% CI,Upper 95% CI,,,
2014,Sutter,Low Birthweight,1317,91,6.9,5.7,8.4,,,
2014,Tehama,Low Birthweight,787,49,6.2,4.7,8.1,,,
2014,Trinity,Low Birthweight,112,11,9.8,5.6,16.7,,,
2014,Tulare,Low Birthweight,7617,506,6.6,6.1,7.2,,,
2014,Tuolumne,Low Birthweight,454,34,7.5,5.4,10.3,,,
2014,Ventura,Low Birthweight,10470,680,6.5,6,7,,,
2014,Yolo,Low Birthweight,2395,128,5.3,4.5,6.3,,,
2014,Yuba,Low Birthweight,1193,67,5.6,4.4,7.1,,,
2015,California,Low Birthweight,491652,33673,6.8,6.8,6.9,,,
2015,Alameda,Low Birthweight,19437,1388,7.1,6.8,7.5,,,
2015,Alpine,Low Birthweight,3,,,,,,,
2015,Amador,Low Birthweight,305,20,6.6,4.3,9.9,,,
2015,Butte,Low Birthweight,2440,152,6.2,5.3,7.3,,,
2015,Calaveras,Low Birthweight,379,15,4,2.4,6.4,,,
2015,Colusa,Low Birthweight,298,22,7.4,4.9,10.9,,,
2015,Contra Costa,Low Birthweight,12592,864,6.9,6.4,7.3,,,
2015,Del Norte,Low Birthweight,300,20,6.7,4.4,10.1,,,
2015,El Dorado,Low Birthweight,1596,115,7.2,6,8.6,,,
2015,Fresno,Low Birthweight,15356,1190,7.7,7.3,8.2,,,
2015,Glenn,Low Birthweight,376,19,5.1,3.3,7.8,,,
2015,Humboldt,Low Birthweight,1446,70,4.8,3.8,6.1,,,
2015,Imperial,Low Birthweight,3216,170,5.3,4.6,6.1,,,
2015,Inyo,Low Birthweight,203,12,5.9,3.4,10,,,
2015,Kern,Low Birthweight,13756,1006,7.3,6.9,7.8,,,
2015,Kings,Low Birthweight,2274,146,6.4,5.5,7.5,,,
2015,Lake,Low Birthweight,724,42,5.8,4.3,7.7,,,
2015,Lassen,Low Birthweight,294,22,7.5,5,11.1,,,
2015,Los Angeles,Low Birthweight,124420,9083,7.3,7.2,7.4,,,
2015,Madera,Low Birthweight,2224,132,5.9,5,7,,,
2015,Marin,Low Birthweight,2287,133,5.8,4.9,6.9,,,
2015,Mariposa,Low Birthweight,166,13,7.8,4.6,12.9,,,
2015,Mendocino,Low Birthweight,1050,64,6.1,4.8,7.7,,,
2015,Merced,Low Birthweight,4105,247,6,5.3,6.8,,,
2015,Modoc,Low Birthweight,80,,,,,,,
2015,Mono,Low Birthweight,152,11,7.2,4.1,12.5,,,
2015,Monterey,Low Birthweight,6425,418,6.5,5.9,7.1,,,
2015,Napa,Low Birthweight,1455,69,4.7,3.8,6,,,
2015,Nevada,Low Birthweight,876,59,6.7,5.3,8.6,,,
2015,Orange,Low Birthweight,37617,2358,6.3,6,6.5,,,
2015,Placer,Low Birthweight,3746,222,5.9,5.2,6.7,,,
2015,Plumas,Low Birthweight,163,24,14.7,10.1,21,,,
2015,Riverside,Low Birthweight,30503,1981,6.5,6.2,6.8,,,
2015,Sacramento,Low Birthweight,19424,1326,6.8,6.5,7.2,,,
2015,San Benito,Low Birthweight,720,54,7.5,5.8,9.7,,,
2015,San Bernardino,Low Birthweight,30611,2249,7.3,7.1,7.6,,,
2015,San Diego,Low Birthweight,43943,2839,6.5,6.2,6.7,,,
2015,San Francisco,Low Birthweight,8971,615,6.9,6.4,7.4,,,
2015,San Joaquin,Low Birthweight,9983,721,7.2,6.7,7.7,,,
2015,San Luis Obispo,Low Birthweight,2666,164,6.2,5.3,7.1,,,
2015,San Mateo,Low Birthweight,9040,676,7.5,7,8,,,
2015,Santa Barbara,Low Birthweight,5671,349,6.2,5.6,6.8,,,
2015,Santa Clara,Low Birthweight,23388,1639,7,6.7,7.3,,,
2015,Santa Cruz,Low Birthweight,2841,193,6.8,5.9,7.8,,,
2015,Shasta,Low Birthweight,2074,119,5.7,4.8,6.8,,,
2015,Sierra,Low Birthweight,31,,,,,,,
2015,Siskiyou,Low Birthweight,466,41,8.8,6.6,11.7,,,
2015,Solano,Low Birthweight,5130,319,6.2,5.6,6.9,,,
2015,Sonoma,Low Birthweight,5015,283,5.6,5,6.3,,,
2015,Stanislaus,Low Birthweight,7692,487,6.3,5.8,6.9,,,
2015,Sutter,Low Birthweight,1302,85,6.5,5.3,8,,,
2015,Tehama,Low Birthweight,828,54,6.5,5,8.4,,,
2015,Trinity,Low Birthweight,102,,,,,,,
2015,Tulare,Low Birthweight,7411,509,6.9,6.3,7.5,,,
2015,Tuolumne,Low Birthweight,465,32,6.9,4.9,9.6,,,
2015,Ventura,Low Birthweight,10057,610,6.1,5.6,6.5,,,
2015,Yolo,Low Birthweight,2402,131,5.5,4.6,6.4,,,
2015,Yuba,Low Birthweight,1155,79,6.8,5.5,8.4,,,
2016,California,Low Birthweight,488832,33490,6.9,6.8,6.9,,,
2016,Alameda,Low Birthweight,19576,1387,7.1,6.7,7.5,,,
